Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2006-04-10 00:00:00.000 +0200,Partly Cloudy,rain,10.4222222222222,10.4222222222222,0.62,16.9855,150,15.8263,0,1014.4,Mostly cloudy throughout the day.
2006-04-10 01:00:00.000 +0200,Partly Cloudy,rain,9.91111111111111,7.56666666666667,0.66,17.2109,149,15.8263,0,1014.2,Mostly cloudy throughout the day.
2006-04-10 02:00:00.000 +0200,Mostly Cloudy,rain,11.1833333333333,11.1833333333333,0.8,10.8192,163,14.9569,0,1008.71,Mostly cloudy throughout the day.
2006-04-10 03:00:00.000 +0200,Partly Cloudy,rain,7.15555555555556,5.04444444444444,0.79,11.0768,180,15.8263,0,1014.47,Mostly cloudy throughout the day.
2006-04-10 04:00:00.000 +0200,Partly Cloudy,rain,6.11111111111111,4.81666666666667,0.82,6.6493,161,15.8263,0,1014.45,Mostly cloudy throughout the day.
2006-04-10 05:00:00.000 +0200,Partly Cloudy,rain,6.78888888888889,4.27222222222222,0.83,13.0088,135,14.9569,0,1014.49,Mostly cloudy throughout the day.
2006-04-10 06:00:00.000 +0200,Mostly Cloudy,rain,7.26111111111111,5.15555555555556,0.85,11.1734,141,6.1985,0,1014.52,Mostly cloudy throughout the day.
2006-04-10 07:00:00.000 +0200,Mostly Cloudy,rain,7.8,5.52777777777778,0.83,12.8156,150,8.05,0,1014.16,Mostly cloudy throughout the day.
2006-04-10 08:00:00.000 +0200,Mostly Cloudy,rain,9.87222222222223,7.93333333333333,0.78,13.7494,160,9.982,0,1014.24,Mostly cloudy throughout the day.
2006-04-10 09:00:00.000 +0200,Mostly Cloudy,rain,12.2222222222222,12.2222222222222,0.72,15.6331,150,9.982,0,1014.25,Mostly cloudy throughout the day.
2006-04-10 10:00:00.000 +0200,Mostly Cloudy,rain,15.0944444444444,15.0944444444444,0.61,17.549,151,9.982,0,1013.96,Mostly cloudy throughout the day.
2006-04-10 11:00:00.000 +0200,Mostly Cloudy,rain,17.3555555555556,17.3555555555556,0.52,22.7815,169,9.982,0,1013.85,Mostly cloudy throughout the day.
2006-04-10 12:00:00.000 +0200,Mostly Cloudy,rain,19.0055555555556,19.0055555555556,0.46,23.8924,169,9.982,0,1013.04,Mostly cloudy throughout the day.
2006-04-10 13:00:00.000 +0200,Mostly Cloudy,rain,20.0444444444444,20.0444444444444,0.4,28.3682,170,9.982,0,1012.22,Mostly cloudy throughout the day.
2006-04-10 14:00:00.000 +0200,Mostly Cloudy,rain,21.05,21.05,0.4,26.9031,187,10.3523,0,1011.44,Mostly cloudy throughout the day.
2006-04-10 15:00:00.000 +0200,Mostly Cloudy,rain,21.1833333333333,21.1833333333333,0.37,25.6956,179,9.982,0,1010.52,Mostly cloudy throughout the day.
2006-04-10 16:00:00.000 +0200,Mostly Cloudy,rain,20.1166666666667,20.1166666666667,0.4,25.3092,162,9.982,0,1009.83,Mostly cloudy throughout the day.
2006-04-10 17:00:00.000 +0200,Mostly Cloudy,rain,20.2166666666667,20.2166666666667,0.36,18.1125,161,10.3523,0,1009.26,Mostly cloudy throughout the day.
2006-04-10 18:00:00.000 +0200,Mostly Cloudy,rain,20,20,0.43,23.4255,160,9.982,0,1008.76,Mostly cloudy throughout the day.
2006-04-10 19:00:00.000 +0200,Mostly Cloudy,rain,17.8,17.8,0.5,20.0445,150,11.2056,0,1008.36,Mostly cloudy throughout the day.
2006-04-10 20:00:00.000 +0200,Mostly Cloudy,rain,16.0611111111111,16.0611111111111,0.53,21.3969,149,9.982,0,1008.11,Mostly cloudy throughout the day.
2006-04-10 21:00:00.000 +0200,Mostly Cloudy,rain,15.0222222222222,15.0222222222222,0.55,21.3808,159,9.982,0,1008.15,Mostly cloudy throughout the day.
2006-04-10 22:00:00.000 +0200,Overcast,rain,14.4222222222222,14.4222222222222,0.58,20.0123,159,15.8263,0,1007.85,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0200,Overcast,rain,14.2555555555556,14.2555555555556,0.59,16.5025,168,14.9569,0,1007.89,Mostly cloudy throughout the day.
